,Bill,Sponsor,Ayes,Nays,Abstentions,Venue,Sponsor Last Names,Dem Sponsors,Rep Sponsors
957,AB957,Committee on Housing and Community Development (A)  - (),74,1,6,Floor,['Committee on Housing and Community Development (A)  - ()'],0,0
960,AB960,Maienschein (A) ,73,1,7,Floor,['Maienschein (A) '],1,0
962,AB962,Burke (A) ,55,16,9,Floor,['Burke (A) '],1,0
963,AB963,Petrie-Norris (A) ,63,7,10,Floor,['Petrie-Norris (A) '],1,0
965,AB965,Mark Stone (A) ,44,23,13,Floor,['Mark Stone (A) '],0,0
967,AB967,Smith (A) ,56,18,6,Floor,['Smith (A) '],1,0
970,AB970,Salas (A) ,76,1,4,Floor,['Salas (A) '],1,0
971,AB971,Salas (A) ,75,1,5,Floor,['Salas (A) '],1,0
975,AB975,Calderon (A) ,66,2,12,Floor,['Calderon (A) '],1,0
976,AB976,"Chau (A) , Kiley (A) , Obernolte (A) ",78,1,2,Floor,"['Chau (A) ', ' Kiley (A) ', ' Obernolte (A) ']",1,2
981,AB981,Daly (A) ,77,1,3,Floor,['Daly (A) '],1,0
984,AB984,Lackey (A) ,76,1,4,Floor,['Lackey (A) '],0,1
987,AB987,Robert Rivas (A) ,75,1,5,Floor,['Robert Rivas (A) '],0,0
991,AB991,Gallagher (A) ,74,1,6,Floor,['Gallagher (A) '],0,1
995,AB995,Ting (A) ,77,1,3,Floor,['Ting (A) '],1,0
998,AB998,Aguiar-Curry (A) ,75,1,5,Floor,['Aguiar-Curry (A) '],1,0
1001,AB1001,Ting (A) ,78,1,2,Floor,['Ting (A) '],1,0
1002,AB1002,Rodriguez (A) ,68,1,12,Floor,['Rodriguez (A) '],1,0
1004,AB1004,McCarty (A) ,78,1,2,Floor,['McCarty (A) '],1,0
1007,AB1007,Jones-Sawyer (A) ,54,18,8,Floor,['Jones-Sawyer (A) '],1,0
1009,AB1009,Gabriel (A) ,76,1,4,Floor,['Gabriel (A) '],1,0
1010,AB1010,Eduardo Garcia (A) ,75,1,5,Floor,['Eduardo Garcia (A) '],0,0
1011,AB1011,Petrie-Norris (A) ,72,1,8,Floor,['Petrie-Norris (A) '],1,0
1013,AB1013,Obernolte (A) ,78,1,2,Floor,['Obernolte (A) '],0,1
1014,AB1014,"O'Donnell (A) , Brough (A) , Wicks (A) ",58,1,21,Floor,"[""O'Donnell (A) "", ' Brough (A) ', ' Wicks (A) ']",2,1
1017,AB1017,Boerner Horvath (A) ,76,1,4,Floor,['Boerner Horvath (A) '],0,0
1018,AB1018,Frazier (A) ,73,1,7,Floor,['Frazier (A) '],1,0
