,Bill,Sponsor,Ayes,Nays,Abstentions,Venue,Sponsor Last Names,Dem Sponsors,Rep Sponsors
1,AB1,Cooper (A) ,68,1,12,Floor,['Cooper (A) '],1,0
2,AB2,"Santiago (A) , Bonta (A) , Cervantes (A) , Chiu (A) , Friedman (A) , Gonzalez (A) , McCarty (A) , Quirk-Silva (A) ",72,1,8,Floor,"['Santiago (A) ', ' Bonta (A) ', ' Cervantes (A) ', ' Chiu (A) ', ' Friedman (A) ', ' Gonzalez (A) ', ' McCarty (A) ', ' Quirk-Silva (A) ']",8,0
4,AB4,"Arambula (A) , Bonta (A) , Chiu (A) , Gonzalez (A) , Santiago (A) ",51,17,12,Floor,"['Arambula (A) ', ' Bonta (A) ', ' Chiu (A) ', ' Gonzalez (A) ', ' Santiago (A) ']",5,0
5,AB5,Gonzalez (A) ,59,15,6,Floor,['Gonzalez (A) '],1,0
6,AB6,"Reyes (A) , McCarty (A) ",72,1,8,Floor,"['Reyes (A) ', ' McCarty (A) ']",2,0
7,AB7,"Chu (A) , Gonzalez (A) , Obernolte (A) ",72,1,8,Floor,"['Chu (A) ', ' Gonzalez (A) ', ' Obernolte (A) ']",2,1
8,AB8,"Chu (A) , Eduardo Garcia (A) ",62,8,10,Floor,"['Chu (A) ', ' Eduardo Garcia (A) ']",1,0
9,AB9,"Reyes (A) , Friedman (A) , Waldron (A) ",53,5,22,Floor,"['Reyes (A) ', ' Friedman (A) ', ' Waldron (A) ']",2,1
10,AB10,"Chiu (A) , Bonta (A) , Maienschein (A) , Reyes (A) , Wicks (A) ",77,1,3,Floor,"['Chiu (A) ', ' Bonta (A) ', ' Maienschein (A) ', ' Reyes (A) ', ' Wicks (A) ']",5,0
12,AB12,"Irwin (A) , Ting (A) ",53,13,14,Floor,"['Irwin (A) ', ' Ting (A) ']",2,0
15,AB15,"Nazarian (A) , McCarty (A) , Ting (A) ",77,1,3,Floor,"['Nazarian (A) ', ' McCarty (A) ', ' Ting (A) ']",3,0
16,AB16,Luz Rivas (A) ,78,1,2,Floor,['Luz Rivas (A) '],0,0
23,AB23,Burke (A) ,76,1,4,Floor,['Burke (A) '],1,0
25,AB25,Chau (A) ,77,1,3,Floor,['Chau (A) '],1,0
28,AB28,Obernolte (A) ,78,1,2,Floor,['Obernolte (A) '],0,1
29,AB29,Holden (A) ,57,13,10,Floor,['Holden (A) '],1,0
30,AB30,Holden (A) ,76,1,4,Floor,['Holden (A) '],1,0
32,AB32,"Bonta (A) , Chiu (A) , Gloria (A) , Gonzalez (A) , Kamlager-Dove (A) , Santiago (A) ",61,13,6,Floor,"['Bonta (A) ', ' Chiu (A) ', ' Gloria (A) ', ' Gonzalez (A) ', ' Kamlager-Dove (A) ', ' Santiago (A) ']",4,0
35,AB35,"Kalra (A) , Cristina Garcia (A) ",49,22,9,Floor,"['Kalra (A) ', ' Cristina Garcia (A) ']",1,0
37,AB37,Jones-Sawyer (A) ,69,1,10,Floor,['Jones-Sawyer (A) '],1,0
38,AB38,Wood (A) ,70,2,8,Floor,['Wood (A) '],1,0
39,AB39,"Muratsuchi (A) , McCarty (A) , Obernolte (A) ",74,1,6,Floor,"['Muratsuchi (A) ', ' McCarty (A) ', ' Obernolte (A) ']",2,1
41,AB41,Gallagher (A) ,78,1,2,Floor,['Gallagher (A) '],0,1
43,AB43,Gloria (A) ,78,1,2,Floor,['Gloria (A) '],1,0
44,AB44,Friedman (A) ,52,16,12,Floor,['Friedman (A) '],1,0
45,AB45,"Mark Stone (A) , Jones-Sawyer (A) ",47,24,9,Floor,"['Mark Stone (A) ', ' Jones-Sawyer (A) ']",0,0
47,AB47,Daly (A) ,75,1,5,Floor,['Daly (A) '],1,0
48,AB48,O'Donnell (A) ,69,1,10,Floor,"[""O'Donnell (A) ""]",1,0
49,AB49,"Cervantes (A) , Arambula (A) , Gipson (A) , Gloria (A) , Gonzalez (A) , Limón (A) ",76,1,4,Floor,"['Cervantes (A) ', ' Arambula (A) ', ' Gipson (A) ', ' Gloria (A) ', ' Gonzalez (A) ', ' Limón (A) ']",6,0
50,AB50,Kalra (A) ,76,1,4,Floor,['Kalra (A) '],1,0
51,AB51,Gonzalez (A) ,47,20,13,Floor,['Gonzalez (A) '],1,0
56,AB56,Eduardo Garcia (A) ,41,21,18,Floor,['Eduardo Garcia (A) '],0,0
58,AB58,Luz Rivas (A) ,72,1,8,Floor,['Luz Rivas (A) '],0,0
59,AB59,Kalra (A) ,63,10,7,Floor,['Kalra (A) '],1,0
61,AB61,"Ting (A) , Muratsuchi (A) , Reyes (A) ",54,17,9,Floor,"['Ting (A) ', ' Muratsuchi (A) ', ' Reyes (A) ']",3,0
65,AB65,Petrie-Norris (A) ,77,1,3,Floor,['Petrie-Norris (A) '],1,0
67,AB67,"Luz Rivas (A) , Chiu (A) ",70,4,6,Floor,"['Luz Rivas (A) ', ' Chiu (A) ']",0,0
68,AB68,Ting (A) ,61,10,9,Floor,['Ting (A) '],1,0
69,AB69,Ting (A) ,78,1,2,Floor,['Ting (A) '],1,0
74,AB74,Ting (A) ,1,75,4,Floor,['Ting (A) '],1,0
75,AB75,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
76,AB76,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
77,AB77,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
78,AB78,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
79,AB79,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
80,AB80,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
81,AB81,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
82,AB82,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
83,AB83,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
84,AB84,"Committee on Budget (A)  - (Assembly Members Ting (Chair), Arambula, Bloom, Chiu, Cooper, Frazier, Cristina Garcia, Jones-Sawyer, Limón, McCarty, Medina, Mullin, Muratsuchi, Nazarian, O’Donnell, Ramos, Reyes, Luz Rivas, Blanca Rubio, Mark Stone, Weber, Wicks, and Wood)",54,13,13,Floor,"['Committee on Budget (A)  - (Assembly Members Ting (Chair)', ' Arambula', ' Bloom', ' Chiu', ' Cooper', ' Frazier', ' Cristina\xa0Garcia', ' Jones-Sawyer', ' Limón', ' McCarty', ' Medina', ' Mullin', ' Muratsuchi', ' Nazarian', ' O’Donnell', ' Ramos', ' Reyes', ' Luz\xa0Rivas', ' Blanca\xa0Rubio', ' Mark\xa0Stone', ' Weber', ' Wicks', ' and Wood)']",0,0
85,AB85,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
86,AB86,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
87,AB87,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
88,AB88,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
89,AB89,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
90,AB90,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
91,AB91,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
92,AB92,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
93,AB93,"Committee on Budget (A)  - (Assembly Members Ting (Chair), Arambula, Bloom, Chiu, Cooper, Frazier, Cristina Garcia, Jones-Sawyer, Limón, McCarty, Medina, Mullin, Muratsuchi, Nazarian, O’Donnell, Ramos, Reyes, Luz Rivas, Blanca Rubio, Mark  Stone, Weber, Wicks, and Wood)",54,13,13,Floor,"['Committee on Budget (A)  - (Assembly Members Ting (Chair)', ' Arambula', ' Bloom', ' Chiu', ' Cooper', ' Frazier', ' Cristina\xa0Garcia', ' Jones-Sawyer', ' Limón', ' McCarty', ' Medina', ' Mullin', ' Muratsuchi', ' Nazarian', ' O’Donnell', ' Ramos', ' Reyes', ' Luz\xa0Rivas', ' Blanca\xa0Rubio', ' Mark \xa0Stone', ' Weber', ' Wicks', ' and Wood)']",0,0
94,AB94,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
95,AB95,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
96,AB96,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
97,AB97,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
98,AB98,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
99,AB99,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
100,AB100,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
101,AB101,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
102,AB102,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
103,AB103,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
104,AB104,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
105,AB105,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
106,AB106,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
107,AB107,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
108,AB108,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
109,AB109,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
110,AB110,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
111,AB111,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
112,AB112,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
113,AB113,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
114,AB114,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
115,AB115,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
116,AB116,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
117,AB117,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
118,AB118,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
119,AB119,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
120,AB120,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
121,AB121,Ting (A) ,54,13,13,Floor,['Ting (A) '],1,0
123,AB123,"McCarty (A) , Berman (A) , Bonta (A) , Burke (A) , Carrillo (A) , Chiu (A) , Chu (A) , Friedman (A) , Eduardo Garcia (A) , Gonzalez (A) , Limón (A) , Reyes (A) , Robert Rivas (A) , Blanca Rubio (A) , Santiago (A) , Smith (A) , Ting (A) , Wicks (A) ",62,1,18,Floor,"['McCarty (A) ', ' Berman (A) ', ' Bonta (A) ', ' Burke (A) ', ' Carrillo (A) ', ' Chiu (A) ', ' Chu (A) ', ' Friedman (A) ', ' Eduardo Garcia (A) ', ' Gonzalez (A) ', ' Limón (A) ', ' Reyes (A) ', ' Robert Rivas (A) ', ' Blanca Rubio (A) ', ' Santiago (A) ', ' Smith (A) ', ' Ting (A) ', ' Wicks (A) ']",8,0
125,AB125,"McCarty (A) , Berman (A) , Bonta (A) , Burke (A) , Carrillo (A) , Chiu (A) , Chu (A) , Friedman (A) , Eduardo Garcia (A) , Gonzalez (A) , Limón (A) , Mathis (A) , Reyes (A) , Robert Rivas (A) , Blanca Rubio (A) , Santiago (A) , Ting (A) , Wicks (A) ",78,1,2,Floor,"['McCarty (A) ', ' Berman (A) ', ' Bonta (A) ', ' Burke (A) ', ' Carrillo (A) ', ' Chiu (A) ', ' Chu (A) ', ' Friedman (A) ', ' Eduardo Garcia (A) ', ' Gonzalez (A) ', ' Limón (A) ', ' Mathis (A) ', ' Reyes (A) ', ' Robert Rivas (A) ', ' Blanca Rubio (A) ', ' Santiago (A) ', ' Ting (A) ', ' Wicks (A) ']",8,0
126,AB126,Cooper (A) ,75,1,5,Floor,['Cooper (A) '],1,0
128,AB128,Gloria (A) ,70,1,10,Floor,['Gloria (A) '],1,0
130,AB130,"Low (A) , Eggman (A) ",76,1,3,Floor,"['Low (A) ', ' Eggman (A) ']",2,0
133,AB133,"Quirk-Silva (A) , Patterson (A) ",77,1,3,Floor,"['Quirk-Silva (A) ', ' Patterson (A) ']",1,1
134,AB134,Bloom (A) ,59,1,21,Floor,['Bloom (A) '],1,0
135,AB135,"Cervantes (A) , Cooley (A) , Quirk-Silva (A) ",75,1,4,Floor,"['Cervantes (A) ', ' Cooley (A) ', ' Quirk-Silva (A) ']",3,0
136,AB136,Quirk-Silva (A) ,76,1,4,Floor,['Quirk-Silva (A) '],1,0
137,AB137,Cooper (A) ,63,3,14,Floor,['Cooper (A) '],1,0
139,AB139,Quirk-Silva (A) ,77,1,3,Floor,['Quirk-Silva (A) '],1,0
142,AB142,Cristina Garcia (A) ,54,17,9,Floor,['Cristina Garcia (A) '],0,0
147,AB147,Burke (A) ,71,1,9,Floor,['Burke (A) '],1,0
149,AB149,Cooper (A) ,76,1,4,Floor,['Cooper (A) '],1,0
160,AB160,Voepel (A) ,75,1,5,Floor,['Voepel (A) '],0,1
161,AB161,Ting (A) ,43,24,13,Floor,['Ting (A) '],1,0
162,AB162,Kiley (A) ,37,16,27,Floor,['Kiley (A) '],0,1
163,AB163,"Cristina Garcia (A) , Blanca Rubio (A) ",60,5,15,Floor,"['Cristina Garcia (A) ', ' Blanca Rubio (A) ']",0,0
164,AB164,Cervantes (A) ,78,1,2,Floor,['Cervantes (A) '],1,0
165,AB165,Gabriel (A) ,72,1,8,Floor,['Gabriel (A) '],1,0
166,AB166,Gabriel (A) ,63,8,9,Floor,['Gabriel (A) '],1,0
168,AB168,Aguiar-Curry (A) ,76,1,4,Floor,['Aguiar-Curry (A) '],1,0
169,AB169,Lackey (A) ,72,1,8,Floor,['Lackey (A) '],0,1
170,AB170,Gonzalez (A) ,49,17,14,Floor,['Gonzalez (A) '],1,0
171,AB171,Gonzalez (A) ,57,5,18,Floor,['Gonzalez (A) '],1,0
173,AB173,Chau (A) ,77,1,3,Floor,['Chau (A) '],1,0
174,AB174,Wood (A) ,69,1,11,Floor,['Wood (A) '],1,0
175,AB175,Gipson (A) ,59,8,13,Floor,['Gipson (A) '],1,0
176,AB176,Cervantes (A) ,77,1,3,Floor,['Cervantes (A) '],1,0
178,AB178,Dahle (A) ,72,1,8,Floor,['Dahle (A) '],0,1
179,AB179,Reyes (A) ,73,1,7,Floor,['Reyes (A) '],1,0
181,AB181,Rodriguez (A) ,74,1,6,Floor,['Rodriguez (A) '],1,0
185,AB185,"Grayson (A) , Cervantes (A) ",76,1,4,Floor,"['Grayson (A) ', ' Cervantes (A) ']",2,0
187,AB187,"Cristina Garcia (A) , Bigelow (A) ",75,1,5,Floor,"['Cristina Garcia (A) ', ' Bigelow (A) ']",0,0
188,AB188,Daly (A) ,72,1,8,Floor,['Daly (A) '],1,0
189,AB189,Kamlager-Dove (A) ,72,1,8,Floor,['Kamlager-Dove (A) '],0,0
195,AB195,Patterson (A) ,77,1,3,Floor,['Patterson (A) '],0,1
196,AB196,Gonzalez (A) ,66,7,7,Floor,['Gonzalez (A) '],1,0
197,AB197,Weber (A) ,60,15,5,Floor,['Weber (A) '],1,0
201,AB201,"Cervantes (A) , Mullin (A) ",77,1,3,Floor,"['Cervantes (A) ', ' Mullin (A) ']",2,0
202,AB202,"Mathis (A) , Quirk (A) ",73,1,7,Floor,"['Mathis (A) ', ' Quirk (A) ']",1,1
203,AB203,Salas (A) ,76,1,4,Floor,['Salas (A) '],1,0
204,AB204,Wood (A) ,76,1,4,Floor,['Wood (A) '],1,0
205,AB205,Daly (A) ,73,1,7,Floor,['Daly (A) '],1,0
206,AB206,Chiu (A) ,71,1,9,Floor,['Chiu (A) '],1,0
207,AB207,Daly (A) ,76,1,4,Floor,['Daly (A) '],1,0
209,AB209,Limón (A) ,69,1,10,Floor,['Limón (A) '],1,0
211,AB211,Calderon (A) ,78,1,2,Floor,['Calderon (A) '],1,0
213,AB213,"Reyes (A) , Bauer-Kahan (A) , Gallagher (A) , Smith (A) ",77,1,3,Floor,"['Reyes (A) ', ' Bauer-Kahan (A) ', ' Gallagher (A) ', ' Smith (A) ']",3,1
218,AB218,Gonzalez (A) ,64,3,13,Floor,['Gonzalez (A) '],1,0
220,AB220,"Bonta (A) , Gonzalez (A) , Wicks (A) ",70,1,10,Floor,"['Bonta (A) ', ' Gonzalez (A) ', ' Wicks (A) ']",3,0
228,AB228,Aguiar-Curry (A) ,77,1,3,Floor,['Aguiar-Curry (A) '],1,0
230,AB230,Brough (A) ,75,1,5,Floor,['Brough (A) '],0,1
232,AB232,Cervantes (A) ,78,1,2,Floor,['Cervantes (A) '],1,0
233,AB233,"Cooley (A) , Daly (A) ",76,1,4,Floor,"['Cooley (A) ', ' Daly (A) ']",2,0
235,AB235,Mayes (A) ,59,2,19,Floor,['Mayes (A) '],0,1
236,AB236,"Eduardo Garcia (A) , O'Donnell (A) ",78,1,2,Floor,"['Eduardo Garcia (A) ', "" O'Donnell (A) ""]",0,0
240,AB240,Irwin (A) ,76,1,4,Floor,['Irwin (A) '],1,0
241,AB241,Kamlager-Dove (A) ,64,5,11,Floor,['Kamlager-Dove (A) '],0,0
242,AB242,Kamlager-Dove (A) ,64,3,13,Floor,['Kamlager-Dove (A) '],0,0
243,AB243,Kamlager-Dove (A) ,60,8,12,Floor,['Kamlager-Dove (A) '],0,0
245,AB245,Muratsuchi (A) ,78,1,2,Floor,['Muratsuchi (A) '],1,0
247,AB247,Dahle (A) ,78,1,2,Floor,['Dahle (A) '],0,1
252,AB252,"Daly (A) , Frazier (A) ",78,1,2,Floor,"['Daly (A) ', ' Frazier (A) ']",2,0
253,AB253,Mark Stone (A) ,76,1,4,Floor,['Mark Stone (A) '],0,0
254,AB254,Quirk-Silva (A) ,74,1,6,Floor,['Quirk-Silva (A) '],1,0
255,AB255,Limón (A) ,72,1,8,Floor,['Limón (A) '],1,0
256,AB256,Aguiar-Curry (A) ,75,1,5,Floor,['Aguiar-Curry (A) '],1,0
258,AB258,Jones-Sawyer (A) ,78,1,2,Floor,['Jones-Sawyer (A) '],1,0
262,AB262,"Gloria (A) , Gonzalez (A) ",71,1,9,Floor,"['Gloria (A) ', ' Gonzalez (A) ']",2,0
263,AB263,Burke (A) ,71,1,8,Floor,['Burke (A) '],1,0
267,AB267,Chu (A) ,76,1,4,Floor,['Chu (A) '],1,0
271,AB271,"Cooper (A) , Burke (A) ",68,1,12,Floor,"['Cooper (A) ', ' Burke (A) ']",2,0
273,AB273,Gonzalez (A) ,51,19,10,Floor,['Gonzalez (A) '],1,0
275,AB275,Ramos (A) ,78,1,2,Floor,['Ramos (A) '],1,0
278,AB278,McCarty (A) ,76,1,4,Floor,['McCarty (A) '],1,0
283,AB283,Chu (A) ,75,3,2,Floor,['Chu (A) '],1,0
285,AB285,Friedman (A) ,59,18,3,Floor,['Friedman (A) '],1,0
289,AB289,"Fong (A) , Gonzalez (A) ",78,1,2,Floor,"['Fong (A) ', ' Gonzalez (A) ']",1,1
290,AB290,Wood (A) ,46,15,19,Floor,['Wood (A) '],1,0
292,AB292,Quirk (A) ,76,1,4,Floor,['Quirk (A) '],1,0
294,AB294,Rodriguez (A) ,78,1,2,Floor,['Rodriguez (A) '],1,0
295,AB295,Daly (A) ,76,1,4,Floor,['Daly (A) '],1,0
296,AB296,Cooley (A) ,75,1,4,Floor,['Cooley (A) '],1,0
300,AB300,Chu (A) ,74,3,3,Floor,['Chu (A) '],1,0
302,AB302,Berman (A) ,60,8,12,Floor,['Berman (A) '],1,0
303,AB303,Cervantes (A) ,78,1,2,Floor,['Cervantes (A) '],1,0
304,AB304,Jones-Sawyer (A) ,75,1,5,Floor,['Jones-Sawyer (A) '],1,0
305,AB305,Nazarian (A) ,76,1,4,Floor,['Nazarian (A) '],1,0
307,AB307,Reyes (A) ,74,1,6,Floor,['Reyes (A) '],1,0
308,AB308,"Muratsuchi (A) , Smith (A) ",77,1,3,Floor,"['Muratsuchi (A) ', ' Smith (A) ']",2,0
309,AB309,Maienschein (A) ,76,1,4,Floor,['Maienschein (A) '],1,0
310,AB310,Santiago (A) ,72,1,8,Floor,['Santiago (A) '],1,0
313,AB313,Frazier (A) ,78,1,2,Floor,['Frazier (A) '],1,0
314,AB314,Bonta (A) ,58,16,6,Floor,['Bonta (A) '],1,0
317,AB317,"Diep (A) , Fong (A) ",78,1,2,Floor,"['Diep (A) ', ' Fong (A) ']",0,2
318,AB318,Chu (A) ,61,16,3,Floor,['Chu (A) '],1,0
320,AB320,"Quirk (A) , Mathis (A) ",78,1,2,Floor,"['Quirk (A) ', ' Mathis (A) ']",1,1
321,AB321,Patterson (A) ,72,1,7,Floor,['Patterson (A) '],0,1
324,AB324,Aguiar-Curry (A) ,76,1,4,Floor,['Aguiar-Curry (A) '],1,0
329,AB329,Rodriguez (A) ,72,1,8,Floor,['Rodriguez (A) '],1,0
330,AB330,Gabriel (A) ,64,10,6,Floor,['Gabriel (A) '],1,0
331,AB331,"Medina (A) , Bloom (A) , Bonta (A) , Gonzalez (A) , Ramos (A) , Weber (A) ",63,8,9,Floor,"['Medina (A) ', ' Bloom (A) ', ' Bonta (A) ', ' Gonzalez (A) ', ' Ramos (A) ', ' Weber (A) ']",6,0
332,AB332,Lackey (A) ,76,1,4,Floor,['Lackey (A) '],0,1
333,AB333,Eggman (A) ,78,1,2,Floor,['Eggman (A) '],1,0
335,AB335,Eduardo Garcia (A) ,76,1,4,Floor,['Eduardo Garcia (A) '],0,0
337,AB337,Quirk-Silva (A) ,78,1,2,Floor,['Quirk-Silva (A) '],1,0
338,AB338,Chu (A) ,60,13,7,Floor,['Chu (A) '],1,0
339,AB339,Irwin (A) ,68,1,11,Floor,['Irwin (A) '],1,0
340,AB340,"Irwin (A) , Ting (A) ",66,1,13,Floor,"['Irwin (A) ', ' Ting (A) ']",2,0
342,AB342,Muratsuchi (A) ,51,19,10,Floor,['Muratsuchi (A) '],1,0
344,AB344,Calderon (A) ,67,1,12,Floor,['Calderon (A) '],1,0
346,AB346,Cooper (A) ,75,1,5,Floor,['Cooper (A) '],1,0
349,AB349,Choi (A) ,74,1,6,Floor,['Choi (A) '],0,1
352,AB352,Eduardo Garcia (A) ,63,1,17,Floor,['Eduardo Garcia (A) '],0,0
353,AB353,Muratsuchi (A) ,77,1,3,Floor,['Muratsuchi (A) '],1,0
354,AB354,Quirk-Silva (A) ,63,11,6,Floor,['Quirk-Silva (A) '],1,0
355,AB355,Daly (A) ,76,1,4,Floor,['Daly (A) '],1,0
356,AB356,Santiago (A) ,60,7,13,Floor,['Santiago (A) '],1,0
357,AB357,Nazarian (A) ,78,1,2,Floor,['Nazarian (A) '],1,0
361,AB361,Voepel (A) ,76,1,4,Floor,['Voepel (A) '],0,1
362,AB362,Eggman (A) ,44,26,10,Floor,['Eggman (A) '],1,0
365,AB365,Cristina Garcia (A) ,78,1,2,Floor,['Cristina Garcia (A) '],0,0
368,AB368,Quirk-Silva (A) ,76,1,4,Floor,['Quirk-Silva (A) '],1,0
369,AB369,Weber (A) ,69,3,8,Floor,['Weber (A) '],1,0
372,AB372,"Voepel (A) , Gonzalez (A) ",77,1,3,Floor,"['Voepel (A) ', ' Gonzalez (A) ']",1,1
376,AB376,Mark Stone (A) ,59,15,6,Floor,['Mark Stone (A) '],0,0
377,AB377,"Eduardo Garcia (A) , Mayes (A) ",74,1,6,Floor,"['Eduardo Garcia (A) ', ' Mayes (A) ']",0,0
378,AB378,"Limón (A) , Gonzalez (A) ",60,17,3,Floor,"['Limón (A) ', ' Gonzalez (A) ']",2,0
379,AB379,Maienschein (A) ,77,1,3,Floor,['Maienschein (A) '],1,0
384,AB384,Chau (A) ,57,15,8,Floor,['Chau (A) '],1,0
386,AB386,Eduardo Garcia (A) ,77,1,3,Floor,['Eduardo Garcia (A) '],0,0
387,AB387,Gabriel (A) ,53,18,9,Floor,['Gabriel (A) '],1,0
388,AB388,Limón (A) ,78,1,2,Floor,['Limón (A) '],1,0
391,AB391,Voepel (A) ,73,1,6,Floor,['Voepel (A) '],0,1
392,AB392,"Weber (A) , Atkins (S) , McCarty (A) , Rendon (A) ",68,1,12,Floor,"['Weber (A) ', ' Atkins (S) ', ' McCarty (A) ', ' Rendon (A) ']",1,0
393,AB393,Nazarian (A) ,78,1,2,Floor,['Nazarian (A) '],1,0
397,AB397,Chau (A) ,78,1,2,Floor,['Chau (A) '],1,0
398,AB398,Chu (A) ,76,1,4,Floor,['Chu (A) '],1,0
402,AB402,Quirk (A) ,65,1,15,Floor,['Quirk (A) '],1,0
403,AB403,Kalra (A) ,42,27,11,Floor,['Kalra (A) '],1,0
406,AB406,"Limón (A) , Gonzalez (A) ",77,1,3,Floor,"['Limón (A) ', ' Gonzalez (A) ']",2,0
407,AB407,Santiago (A) ,74,2,4,Floor,['Santiago (A) '],1,0
409,AB409,Limón (A) ,76,1,4,Floor,['Limón (A) '],1,0
411,AB411,Mark Stone (A) ,72,1,8,Floor,['Mark Stone (A) '],0,0
414,AB414,Bonta (A) ,55,18,7,Floor,['Bonta (A) '],1,0
415,AB415,Maienschein (A) ,73,1,7,Floor,['Maienschein (A) '],1,0
417,AB417,"Arambula (A) , Mathis (A) , Robert Rivas (A) ",73,1,7,Floor,"['Arambula (A) ', ' Mathis (A) ', ' Robert Rivas (A) ']",1,1
418,AB418,Kalra (A) ,53,23,4,Floor,['Kalra (A) '],1,0
419,AB419,Committee on Agriculture (A)  - (),78,1,2,Floor,['Committee on Agriculture (A)  - ()'],0,0
422,AB422,Frazier (A) ,76,1,4,Floor,['Frazier (A) '],1,0
423,AB423,Gloria (A) ,56,14,10,Floor,['Gloria (A) '],1,0
424,AB424,Gabriel (A) ,72,1,8,Floor,['Gabriel (A) '],1,0
425,AB425,Cooley (A) ,76,1,4,Floor,['Cooley (A) '],1,0
426,AB426,Maienschein (A) ,71,1,9,Floor,['Maienschein (A) '],1,0
428,AB428,"Medina (A) , Arambula (A) , Frazier (A) , O'Donnell (A) , Reyes (A) ",76,1,4,Floor,"['Medina (A) ', ' Arambula (A) ', ' Frazier (A) ', "" O'Donnell (A) "", ' Reyes (A) ']",5,0
429,AB429,Nazarian (A) ,77,1,2,Floor,['Nazarian (A) '],1,0
430,AB430,Gallagher (A) ,70,1,9,Floor,['Gallagher (A) '],0,1
433,AB433,Ramos (A) ,73,1,6,Floor,['Ramos (A) '],1,0
434,AB434,Daly (A) ,77,1,3,Floor,['Daly (A) '],1,0
436,AB436,Aguiar-Curry (A) ,72,1,8,Floor,['Aguiar-Curry (A) '],1,0
437,AB437,Wood (A) ,58,16,6,Floor,['Wood (A) '],1,0
439,AB439,Mark Stone (A) ,76,1,4,Floor,['Mark Stone (A) '],0,0
446,AB446,Choi (A) ,74,1,6,Floor,['Choi (A) '],0,1
447,AB447,Patterson (A) ,76,1,4,Floor,['Patterson (A) '],0,1
449,AB449,Gallagher (A) ,78,1,2,Floor,['Gallagher (A) '],0,1
450,AB450,"Arambula (A) , Irwin (A) , Mathis (A) ",76,1,4,Floor,"['Arambula (A) ', ' Irwin (A) ', ' Mathis (A) ']",2,1
451,AB451,"Arambula (A) , Santiago (A) ",78,1,2,Floor,"['Arambula (A) ', ' Santiago (A) ']",2,0
452,AB452,"Mullin (A) , McCarty (A) ",74,1,6,Floor,"['Mullin (A) ', ' McCarty (A) ']",2,0
454,AB454,Kalra (A) ,55,21,4,Floor,['Kalra (A) '],1,0
456,AB456,"Chiu (A) , Bonta (A) , Low (A) ",76,1,4,Floor,"['Chiu (A) ', ' Bonta (A) ', ' Low (A) ']",3,0
457,AB457,"Quirk (A) , Smith (A) ",59,9,12,Floor,"['Quirk (A) ', ' Smith (A) ']",2,0
458,AB458,Nazarian (A) ,76,1,4,Floor,['Nazarian (A) '],1,0
462,AB462,Rodriguez (A) ,75,1,5,Floor,['Rodriguez (A) '],1,0
463,AB463,Cervantes (A) ,62,12,6,Floor,['Cervantes (A) '],1,0
465,AB465,Eggman (A) ,76,1,4,Floor,['Eggman (A) '],1,0
